week,signal_date,exec_date,n_ranked,n_long,n_short,mean_long,mean_short,factor_return
2021-11-22/2021-11-28,2021-11-26,2021-11-29,481,49,49,-0.023447311178212936,-0.018766470426787328,-0.004680840751425608
2021-11-29/2021-12-05,2021-12-03,2021-12-06,481,48,50,0.014318233338502797,0.026725153922310927,-0.01240692058380813
2021-12-06/2021-12-12,2021-12-10,2021-12-13,481,48,50,-0.032490748915705074,-0.011636359120721617,-0.020854389794983455
2021-12-13/2021-12-19,2021-12-17,2021-12-20,481,48,50,0.045740304053451177,0.03271718415103086,0.013023119902420319
2021-12-20/2021-12-26,2021-12-23,2021-12-27,481,48,50,0.008702948701730863,0.019016863058746322,-0.01031391435701546
2021-12-27/2022-01-02,2021-12-31,2022-01-03,481,48,50,0.014290235911447888,-0.020863442056274436,0.03515367796772233
2022-01-03/2022-01-09,2022-01-07,2022-01-10,481,49,49,-0.007065513888492482,-5.996156759270139e-05,-0.007005552320899781
2022-01-10/2022-01-16,2022-01-14,2022-01-18,481,49,49,-0.08044270708825682,-0.039879993538323104,-0.04056271354993372
2022-01-17/2022-01-23,2022-01-21,2022-01-24,481,49,49,0.04230325182724442,0.00916563504447436,0.03313761678277006
2022-01-24/2022-01-30,2022-01-28,2022-01-31,481,49,49,0.04347393698098921,0.011239995998959681,0.03223394098202953
2022-01-31/2022-02-06,2022-02-04,2022-02-07,481,49,49,-0.024262414212789005,0.01826690752593205,-0.04252932173872105
2022-02-07/2022-02-13,2022-02-11,2022-02-14,481,49,49,-0.02332787389306796,-0.02194185707063488,-0.0013860168224330803
2022-02-14/2022-02-20,2022-02-18,2022-02-22,481,49,49,0.01919682285686959,-0.027735196635599157,0.04693201949246875
2022-02-21/2022-02-27,2022-02-25,2022-02-28,481,49,49,0.0007877635270329641,-0.0034505033045780105,0.004238266831610975
2022-02-28/2022-03-06,2022-03-04,2022-03-07,481,49,49,-0.017071112546627427,-0.03940621435631431,0.022335101809686887
2022-03-07/2022-03-13,2022-03-11,2022-03-14,481,49,49,0.06292423621763976,0.06696622423839547,-0.004041988020755713
2022-03-14/2022-03-20,2022-03-18,2022-03-21,481,49,49,-0.002008043697979893,0.009239453657884401,-0.011247497355864295
2022-03-21/2022-03-27,2022-03-25,2022-03-28,481,49,49,0.004174036845564814,0.010187773373139173,-0.006013736527574359
2022-03-28/2022-04-03,2022-04-01,2022-04-04,481,48,49,-0.03242472075299229,-0.02050761038968186,-0.011917110363310432
2022-04-04/2022-04-10,2022-04-08,2022-04-11,481,48,49,-0.011529093753769662,-0.000604590429120875,-0.010924503324648787
2022-04-11/2022-04-17,2022-04-14,2022-04-18,481,48,49,-0.024941187249167468,-0.03575520447244137,0.010814017223273902
2022-04-18/2022-04-24,2022-04-22,2022-04-25,481,48,49,-0.022510139784128778,-0.026171890638057808,0.00366175085392903
2022-04-25/2022-05-01,2022-04-29,2022-05-02,481,48,49,-0.01295088631503216,-0.025892733481220218,0.012941847166188057
2022-05-02/2022-05-08,2022-05-06,2022-05-09,481,49,49,0.004746750001564725,-0.0035110311209833244,0.00825778112254805
2022-05-09/2022-05-15,2022-05-13,2022-05-16,481,49,49,-0.022690487462671393,-0.02183846532287102,-0.0008520221398003736
2022-05-16/2022-05-22,2022-05-20,2022-05-23,481,49,49,0.0673201927613791,0.04971813830358019,0.01760205445779891
2022-05-23/2022-05-29,2022-05-27,2022-05-31,481,49,49,0.009152270190274165,-0.003915014803882059,0.013067284994156225
2022-05-30/2022-06-05,2022-06-03,2022-06-06,481,49,49,-0.07564011809369353,-0.09395403032308758,0.018313912229394047
2022-06-06/2022-06-12,2022-06-10,2022-06-13,481,49,49,-0.017273202024908493,-0.031595845751560624,0.01432264372665213
2022-06-13/2022-06-19,2022-06-17,2022-06-21,481,49,49,0.04676763206154118,0.053245076333722656,-0.006477444272181478
2022-06-20/2022-06-26,2022-06-24,2022-06-27,481,49,49,-0.016358499201107157,-0.052306219633471894,0.03594772043236474
2022-06-27/2022-07-03,2022-07-01,2022-07-05,481,49,49,0.007375034873362959,0.02967415532489808,-0.02229912045153512
2022-07-04/2022-07-10,2022-07-08,2022-07-11,481,49,49,0.0163110408803837,-0.005050506646752555,0.021361547527136253
2022-07-11/2022-07-17,2022-07-15,2022-07-18,481,49,49,0.0337464767895273,0.03208150325647207,0.001664973533055232
2022-07-18/2022-07-24,2022-07-22,2022-07-25,481,49,49,0.050011691284288354,0.044664307125405055,0.005347384158883299
2022-07-25/2022-07-31,2022-07-29,2022-08-01,481,49,49,-0.005634030800118046,0.02679813341044606,-0.03243216421056411
2022-08-01/2022-08-07,2022-08-05,2022-08-08,481,50,49,0.020070522508841702,0.029794110748245884,-0.009723588239404182
2022-08-08/2022-08-14,2022-08-12,2022-08-15,481,50,49,0.014160347241254702,-0.06207518717747125,0.07623553441872595
2022-08-15/2022-08-21,2022-08-19,2022-08-22,481,50,49,-0.023795580642489704,-0.04080106736221359,0.017005486719723885
2022-08-22/2022-08-28,2022-08-26,2022-08-29,481,50,49,-0.013391233216544498,-0.02074564939804885,0.0073544161815043505
2022-08-29/2022-09-04,2022-09-02,2022-09-06,481,49,49,0.03893571206819187,0.07026763434011986,-0.031331922271927985
2022-09-05/2022-09-11,2022-09-09,2022-09-12,481,49,49,-0.059683173220061406,-0.05426204771352469,-0.005421125506536714
2022-09-12/2022-09-18,2022-09-16,2022-09-19,481,49,49,-0.036930093592394575,-0.07030724396539836,0.03337715037300379
2022-09-19/2022-09-25,2022-09-23,2022-09-26,481,49,49,-0.008452705355394914,-0.026596279127975447,0.01814357377258053
2022-09-26/2022-10-02,2022-09-30,2022-10-03,481,49,49,0.007157471615834995,0.03152778324310312,-0.02437031162726812
2022-10-03/2022-10-09,2022-10-07,2022-10-10,481,49,48,-0.003977553601757429,-0.014579745399070615,0.010602191797313186
2022-10-10/2022-10-16,2022-10-14,2022-10-17,481,49,48,0.03790336310714119,0.029289794887960158,0.00861356821918103
2022-10-17/2022-10-23,2022-10-21,2022-10-24,481,49,48,0.04367330006521924,0.04679958664760484,-0.003126286582385604
2022-10-24/2022-10-30,2022-10-28,2022-10-31,481,49,48,0.0101676644505074,-0.020765996216786736,0.03093366066729414
2022-10-31/2022-11-06,2022-11-04,2022-11-07,481,49,49,0.0318338444399474,0.07476145142453407,-0.04292760698458667
2022-11-07/2022-11-13,2022-11-11,2022-11-14,481,49,49,0.008317950707496927,-0.029753983078438635,0.03807193378593556
2022-11-14/2022-11-20,2022-11-18,2022-11-21,481,49,49,0.0211335004200339,0.014292574838380548,0.006840925581653352
2022-11-21/2022-11-27,2022-11-25,2022-11-28,481,49,49,0.0052978937069398145,0.008333094206526222,-0.003035200499586408
2022-11-28/2022-12-04,2022-12-02,2022-12-05,481,49,49,-0.048693705586437645,-0.027539625758598876,-0.02115407982783877
2022-12-05/2022-12-11,2022-12-09,2022-12-12,481,49,49,-0.014222900839637027,-0.01921032454030794,0.004987423700670915
2022-12-12/2022-12-18,2022-12-16,2022-12-19,481,49,49,0.01381741637549613,-0.009374842225969742,0.02319225860146587
2022-12-19/2022-12-25,2022-12-23,2022-12-27,481,49,49,-0.015241735100542216,0.017980325992725428,-0.03322206109326764
2022-12-26/2023-01-01,2022-12-30,2023-01-03,481,49,49,0.01157837715782247,0.04402369980102237,-0.0324453226431999
